시각,상태,메시지
2026-09-13 16:58:44,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:45,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:58:46,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:58:47,IDLE,실린더 후진 완료 - 3번째 사이클 종료
2026-09-13 16:58:48,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:58:49,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:58:50,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:51,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:58:52,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:58:53,IDLE,실린더 후진 완료 - 4번째 사이클 종료
2026-09-13 16:58:54,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:58:55,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:58:56,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:57,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:58:58,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:59:08,IDLE,실린더 후진 완료 - 5번째 사이클 종료
2026-09-13 16:59:09,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:59:10,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:59:11,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:59:12,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:59:13,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:59:15,IDLE,실린더 후진 완료 - 6번째 사이클 종료
2026-09-13 16:59:16,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:59:18,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:59:19,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:59:20,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 17:01:16,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 17:01:17,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 17:01:18,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 17:01:19,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 17:01:20,RETURNING,실린더 전진 - 부품 배출
2026-09-13 17:01:21,IDLE,실린더 후진 완료 - 1번째 사이클 종료
2026-09-13 17:01:22,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 17:01:23,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 17:21:04,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 17:21:05,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 17:21:06,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 17:21:07,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 17:21:08,RETURNING,실린더 전진 - 부품 배출
2026-09-13 17:21:09,IDLE,실린더 후진 완료 - 1번째 사이클 종료
2026-09-13 17:21:10,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 17:21:11,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 17:21:12,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 17:21:13,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 17:21:14,RETURNING,실린더 전진 - 부품 배출
2026-09-13 17:21:15,IDLE,실린더 후진 완료 - 2번째 사이클 종료
2026-09-13 17:21:16,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 17:21:17,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 17:21:18,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 17:21:19,PUSHING,정지 위치 도달 - 컨베이어 정지
